tipo,elemento,x1,y1,x2,y2,ancho_px,alto_px,valor_x,valor_y,texto,descripcion
curva,punto,143,55.0,,,,,,,,"Punto de la curva en píxel (143, 55.0); sin calibración suficiente para valor real."
curva,punto,144,55.0,,,,,,,,"Punto de la curva en píxel (144, 55.0); sin calibración suficiente para valor real."
curva,punto,145,55.5,,,,,,,,"Punto de la curva en píxel (145, 55.5); sin calibración suficiente para valor real."
curva,punto,146,55.5,,,,,,,,"Punto de la curva en píxel (146, 55.5); sin calibración suficiente para valor real."
curva,punto,147,56.0,,,,,,,,"Punto de la curva en píxel (147, 56.0); sin calibración suficiente para valor real."
curva,punto,148,56.0,,,,,,,,"Punto de la curva en píxel (148, 56.0); sin calibración suficiente para valor real."
curva,punto,149,56.5,,,,,,,,"Punto de la curva en píxel (149, 56.5); sin calibración suficiente para valor real."
curva,punto,150,57.0,,,,,,,,"Punto de la curva en píxel (150, 57.0); sin calibración suficiente para valor real."
curva,punto,151,57.0,,,,,,,,"Punto de la curva en píxel (151, 57.0); sin calibración suficiente para valor real."
curva,punto,152,57.0,,,,,,,,"Punto de la curva en píxel (152, 57.0); sin calibración suficiente para valor real."
curva,punto,153,57.5,,,,,,,,"Punto de la curva en píxel (153, 57.5); sin calibración suficiente para valor real."
curva,punto,154,58.0,,,,,,,,"Punto de la curva en píxel (154, 58.0); sin calibración suficiente para valor real."
curva,punto,155,58.0,,,,,,,,"Punto de la curva en píxel (155, 58.0); sin calibración suficiente para valor real."
curva,punto,156,58.0,,,,,,,,"Punto de la curva en píxel (156, 58.0); sin calibración suficiente para valor real."
curva,punto,157,58.5,,,,,,,,"Punto de la curva en píxel (157, 58.5); sin calibración suficiente para valor real."
curva,punto,158,59.0,,,,,,,,"Punto de la curva en píxel (158, 59.0); sin calibración suficiente para valor real."
curva,punto,159,59.0,,,,,,,,"Punto de la curva en píxel (159, 59.0); sin calibración suficiente para valor real."
